Gray codes for n = 10 bit
i	 	p		B
408	-	4	-	0 1 0 1 0 1 0 1 0 0 
409	-	1	-	0 1 0 1 0 1 0 1 0 1 
410	-	2	-	0 1 0 1 0 1 0 1 1 1 
411	-	1	-	0 1 0 1 0 1 0 1 1 0 
412	-	3	-	0 1 0 1 0 1 0 0 1 0 
413	-	1	-	0 1 0 1 0 1 0 0 1 1 
414	-	2	-	0 1 0 1 0 1 0 0 0 1 
415	-	1	-	0 1 0 1 0 1 0 0 0 0 
416	-	6	-	0 1 0 1 1 1 0 0 0 0 
417	-	1	-	0 1 0 1 1 1 0 0 0 1 
418	-	2	-	0 1 0 1 1 1 0 0 1 1 
419	-	1	-	0 1 0 1 1 1 0 0 1 0 
420	-	3	-	0 1 0 1 1 1 0 1 1 0 
421	-	1	-	0 1 0 1 1 1 0 1 1 1 
422	-	2	-	0 1 0 1 1 1 0 1 0 1 
423	-	1	-	0 1 0 1 1 1 0 1 0 0 
424	-	4	-	0 1 0 1 1 1 1 1 0 0 
425	-	1	-	0 1 0 1 1 1 1 1 0 1 
426	-	2	-	0 1 0 1 1 1 1 1 1 1 
427	-	1	-	0 1 0 1 1 1 1 1 1 0 
428	-	3	-	0 1 0 1 1 1 1 0 1 0 
429	-	1	-	0 1 0 1 1 1 1 0 1 1 
430	-	2	-	0 1 0 1 1 1 1 0 0 1 
431	-	1	-	0 1 0 1 1 1 1 0 0 0 
432	-	5	-	0 1 0 1 1 0 1 0 0 0 
433	-	1	-	0 1 0 1 1 0 1 0 0 1 
434	-	2	-	0 1 0 1 1 0 1 0 1 1 
435	-	1	-	0 1 0 1 1 0 1 0 1 0 
436	-	3	-	0 1 0 1 1 0 1 1 1 0 
437	-	1	-	0 1 0 1 1 0 1 1 1 1 
438	-	2	-	0 1 0 1 1 0 1 1 0 1 
439	-	1	-	0 1 0 1 1 0 1 1 0 0 
440	-	4	-	0 1 0 1 1 0 0 1 0 0 
441	-	1	-	0 1 0 1 1 0 0 1 0 1 
442	-	2	-	0 1 0 1 1 0 0 1 1 1 
443	-	1	-	0 1 0 1 1 0 0 1 1 0 
444	-	3	-	0 1 0 1 1 0 0 0 1 0 
445	-	1	-	0 1 0 1 1 0 0 0 1 1 
446	-	2	-	0 1 0 1 1 0 0 0 0 1 
447	-	1	-	0 1 0 1 1 0 0 0 0 0 
448	-	7	-	0 1 0 0 1 0 0 0 0 0 
449	-	1	-	0 1 0 0 1 0 0 0 0 1 
450	-	2	-	0 1 0 0 1 0 0 0 1 1 
